ProductID	Name	ProductNumber	MakeFlag	FinishedGoodsFlag	Color	SafetyStockLevel	ReorderPoint	StandardCost	ListPrice	Size	SizeUnitMeasureCode	WeightUnitMeasureCode	Weight	DaysToManufacture	ProductLine	Class	Style	ProductSubcategoryID	ProductModelID	SellStartDate	SellEndDate	DiscontinuedDate	rowguid	ModifiedDate
1	Adjustable Race	AR-5381	0	0	NULL	1000	750	0,00	0,00	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	2002-06-01 00:00:00.000	NULL	NULL	694215B7-08F7-4C0D-ACB1-D734BA44C0C8	2008-03-11 10:01:36.827
2	Bearing Ball	BA-8327	0	0	NULL	1000	750	0,00	0,00	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	2002-06-01 00:00:00.000	NULL	NULL	58AE3C20-4F3A-4749-A7D4-D568806CC537	2008-03-11 10:01:36.827
3	BB Ball Bearing	BE-2349	1	0	NULL	800	600	0,00	0,00	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	2002-06-01 00:00:00.000	NULL	NULL	9C21AED2-5BFA-4F18-BCB8-F11638DC2E4E	2008-03-11 10:01:36.827
4	Headset Ball Bearings	BE-2908	0	0	NULL	800	600	0,00	0,00	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	2002-06-01 00:00:00.000	NULL	NULL	ECFED6CB-51FF-49B5-B06C-7D8AC834DB8B	2008-03-11 10:01:36.827
316	Blade	BL-2036	1	0	NULL	800	600	0,00	0,00	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	2002-06-01 00:00:00.000	NULL	NULL	E73E9750-603B-4131-89F5-3DD15ED5FF80	2008-03-11 10:01:36.827
317	LL Crankarm	CA-5965	0	0	Black	500	375	0,00	0,00	NULL	NULL	NULL	NULL	0	NULL	L 	NULL	NULL	NULL	2002-06-01 00:00:00.000	NULL	NULL	3C9D10B7-A6B2-4774-9963-C19DCEE72FEA	2008-03-11 10:01:36.827
318	ML Crankarm	CA-6738	0	0	Black	500	375	0,00	0,00	NULL	NULL	NULL	NULL	0	NULL	M 	NULL	NULL	NULL	2002-06-01 00:00:00.000	NULL	NULL	EABB9A92-FA07-4EAB-8955-F0517B4A4CA7	2008-03-11 10:01:36.827
319	HL Crankarm	CA-7457	0	0	Black	500	375	0,00	0,00	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	2002-06-01 00:00:00.000	NULL	NULL	7D3FD384-4F29-484B-86FA-4206E276FE58	2008-03-11 10:01:36.827
320	Chainring Bolts	CB-2903	0	0	Silver	1000	750	0,00	0,00	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	2002-06-01 00:00:00.000	NULL	NULL	7BE38E48-B7D6-4486-888E-F53C26735101	2008-03-11 10:01:36.827
321	Chainring Nut	CN-6137	0	0	Silver	1000	750	0,00	0,00	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	2002-06-01 00:00:00.000	NULL	NULL	3314B1D7-EF69-4431-B6DD-DC75268BD5DF	2008-03-11 10:01:36.827
322	Chainring	CR-7833	0	0	Black	1000	750	0,00	0,00	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	2002-06-01 00:00:00.000	NULL	NULL	F0AC2C4D-1A1F-4E3C-B4D9-68AEA0EC1CE4	2008-03-11 10:01:36.827
323	Crown Race	CR-9981	0	0	NULL	1000	750	0,00	0,00	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	2002-06-01 00:00:00.000	NULL	NULL	51A32CA6-65A1-4C31-AF2B-D9E4F5D631D4	2008-03-11 10:01:36.827
324	Chain Stays	CS-2812	1	0	NULL	1000	750	0,00	0,00	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	2002-06-01 00:00:00.000	NULL	NULL	FE0678ED-AEF2-4C58-A450-8151CC24DDD8	2008-03-11 10:01:36.827
325	Decal 1	DC-8732	0	0	NULL	1000	750	0,00	0,00	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	2002-06-01 00:00:00.000	NULL	NULL	05CE123C-A402-478E-AE9B-75D7727AEAAD	2008-03-11 10:01:36.827
326	Decal 2	DC-9824	0	0	NULL	1000	750	0,00	0,00	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	2002-06-01 00:00:00.000	NULL	NULL	A56851F9-1CD7-4E2F-8779-2E773E1B5209	2008-03-11 10:01:36.827
327	Down Tube	DT-2377	1	0	NULL	800	600	0,00	0,00	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	2002-06-01 00:00:00.000	NULL	NULL	1DAD47DD-E259-42B8-B8B4-15A0B7D21B2F	2008-03-11 10:01:36.827
328	Mountain End Caps	EC-M092	1	0	NULL	1000	750	0,00	0,00	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	2002-06-01 00:00:00.000	NULL	NULL	6070B1EA-59B7-4F8B-950F-2BE07D00449D	2008-03-11 10:01:36.827
329	Road End Caps	EC-R098	1	0	NULL	1000	750	0,00	0,00	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	2002-06-01 00:00:00.000	NULL	NULL	88399D13-719E-4545-81D6-F0650F372FA2	2008-03-11 10:01:36.827
330	Touring End Caps	EC-T209	1	0	NULL	1000	750	0,00	0,00	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	2002-06-01 00:00:00.000	NULL	NULL	6903CE24-D0CE-4191-9198-4231DE37A929	2008-03-11 10:01:36.827
331	Fork End	FE-3760	1	0	NULL	800	600	0,00	0,00	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	2002-06-01 00:00:00.000	NULL	NULL	C91D602E-DA52-43D2-BD7E-EB110A9392B9	2008-03-11 10:01:36.827
332	Freewheel	FH-2981	0	0	Silver	500	375	0,00	0,00	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	2002-06-01 00:00:00.000	NULL	NULL	D864879A-E8B1-4F7B-BAFA-1F136089C2C8	2008-03-11 10:01:36.827
